Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,"11,894","12,173","12,284","12,573","12,881","13,327","13,754","14,045","14,413","14,822","15,523","15,641","16,253","16,847","17,617","18,374","19,078","19,901","20,276","20,198","21,548","22,246","22,746","23,422","23,872","24,107","24,660"
OECD,"7,712","7,900","7,975","8,159","8,389","8,646","8,889","9,014","9,244","9,451","9,840","9,723","10,005","10,120","10,368","10,619","10,690","10,880","10,889","10,491","10,958","10,906","10,894","10,898","10,847","10,874","10,901"
G7,"6,089","6,236","6,277","6,414","6,578","6,760","6,944","6,985","7,142","7,272","7,528","7,338","7,574","7,632","7,785","7,956","7,974","8,061","8,028","7,670","8,008","7,906","7,846","7,893","7,845","7,844","7,817"
BRICS,"2,386","2,468","2,510","2,583","2,637","2,754","2,863","2,961","3,026","3,170","3,363","3,499","3,722","4,076","4,451","4,817","5,309","5,829","6,077","6,340","7,001","7,639","7,998","8,527","8,874","8,936","9,356"
Europe,"2,900","2,937","2,926","2,931","2,976","3,071","3,164","3,199","3,280","3,327","3,438","3,504","3,539","3,621","3,705","3,763","3,813","3,857","3,883","3,708","3,866","3,810","3,843","3,814","3,744","3,802","3,831"
European Union,"2,595","2,640","2,624","2,626","2,667","2,744","2,846","2,857","2,923","2,955","3,036","3,119","3,144","3,235","3,303","3,325","3,371","3,383","3,387","3,222","3,366","3,298","3,298","3,271","3,191","3,235","3,242"
Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,86,87,86,89,85,91,95,90,83,84,73,68,84
Czech Rep.,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,88,88,87,86,84,83
France,421,456,464,473,477,494,513,505,511,526,540,550,559,567,574,576,575,569,574,536,569,561,566,572,563,568,553
Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,617,623,639,641,640,596,633,613,630,639,628,652,653
Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,290,280,285,288
Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115
Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,165
Portugal,29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,61
Romania,64,57,54,55,55,59,61,57,53,51,52,54,55,55,56,59,63,62,65,58,61,62,59,59,66,68,68
Spain,152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,280,275
Sweden,147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,155
United Kingdom,320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,382,367,364,359,339,340,339
Norway,122,111,118,120,113,123,105,112,117,123,143,122,131,107,111,138,122,137,142,132,124,128,148,134,142,145,150
Turkey,58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,260,274
CIS,"1,676","1,635","1,529","1,436","1,309","1,270","1,237","1,211","1,193","1,214","1,250","1,270","1,274","1,318","1,346","1,374","1,433","1,458","1,483","1,407","1,482","1,513","1,542","1,538","1,542","1,523","1,553"
Kazakhstan,87,86,83,77,66,67,59,52,49,47,51,57,58,64,67,68,72,77,80,79,83,87,93,103,105,101,104
Russia,"1,082","1,068","1,008",957,876,860,847,834,827,846,878,891,891,916,932,953,996,"1,015","1,040",992,"1,038","1,055","1,071","1,059","1,064","1,066","1,088"
Ukraine,299,279,253,230,203,194,183,178,173,172,171,173,174,180,182,186,193,196,193,174,189,195,199,194,183,164,164
Uzbekistan,56,54,51,49,48,47,45,46,46,45,47,48,49,49,50,49,51,49,49,50,52,52,53,54,55,57,59
America,"4,306","4,425","4,471","4,637","4,760","4,911","5,057","5,126","5,292","5,409","5,641","5,430","5,657","5,732","5,882","6,072","6,109","6,232","6,302","6,105","6,349","6,425","6,419","6,495","6,558","6,601","6,574"
North America,"3,701","3,784","3,811","3,944","4,029","4,142","4,250","4,271","4,392","4,477","4,658","4,455","4,652","4,671","4,775","4,916","4,908","4,976","4,998","4,795","4,974","4,979","4,924","4,967","4,995","4,985","4,970"
Canada,482,509,520,532,556,560,573,574,562,579,606,590,601,590,600,622,607,627,629,606,596,630,633,661,656,659,643
United States,"3,219","3,276","3,291","3,411","3,473","3,582","3,677","3,698","3,830","3,898","4,053","3,865","4,051","4,082","4,175","4,294","4,301","4,350","4,368","4,188","4,378","4,349","4,291","4,306","4,339","4,325","4,327"
Latin America,605,640,660,693,731,769,807,855,900,932,982,975,"1,005","1,060","1,107","1,156","1,201","1,255","1,305","1,310","1,375","1,445","1,495","1,528","1,563","1,616","1,604"
Argentina,51,54,56,62,65,67,70,72,74,81,89,90,84,92,100,106,107,108,122,122,126,130,136,139,142,154,156
Brazil,223,234,242,252,260,276,291,308,322,335,349,329,346,364,387,403,419,445,463,466,516,532,553,571,591,582,580
Chile,18,20,22,24,25,28,31,33,36,38,40,43,44,47,51,52,55,59,60,61,60,66,70,73,74,76,77
Colombia,36,37,33,39,41,43,43,45,45,43,43,43,45,47,50,50,54,55,56,57,59,61,62,69,70,83,82
Mexico,116,129,133,136,147,152,158,167,182,192,206,214,218,236,238,251,258,265,269,268,276,303,307,297,301,307,310
Venezuela,59,63,67,69,71,73,76,78,81,81,85,90,92,92,99,105,110,114,119,120,114,118,122,123,128,148,134
Asia,"2,259","2,411","2,554","2,720","2,949","3,153","3,328","3,494","3,582","3,761","4,024","4,207","4,486","4,834","5,264","5,679","6,162","6,716","6,907","7,234","7,982","8,580","8,957","9,540","9,911","9,999","10,459"
China,621,678,754,838,928,"1,008","1,080","1,136","1,168","1,240","1,356","1,481","1,654","1,911","2,204","2,500","2,866","3,282","3,467","3,715","4,208","4,716","4,994","5,447","5,679","5,696","6,015"
India,293,319,337,361,391,424,443,473,504,546,570,588,611,651,684,716,774,824,848,917,979,"1,075","1,123","1,193","1,287","1,345","1,423"
Indonesia,33,37,42,45,51,59,68,75,78,86,93,101,108,113,120,128,133,142,149,157,170,183,200,216,229,234,249
Japan,882,911,917,926,984,"1,011","1,030","1,055","1,060","1,079","1,100","1,083","1,103","1,093","1,121","1,139","1,140","1,164","1,108","1,075","1,148","1,082","1,064","1,066","1,041","1,015","1,013"
Malaysia,23,27,29,35,39,45,51,58,61,65,69,71,74,78,82,83,90,98,98,116,125,129,134,138,147,151,164
South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,549,549
Taiwan,90,99,106,115,125,133,142,150,163,169,185,189,199,209,218,227,235,243,238,230,247,252,250,252,260,258,266
Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,170,174,178,180
Pacific,190,193,195,200,204,212,217,222,236,245,253,268,272,267,277,276,281,291,291,297,302,303,300,298,297,302,306
Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,222,230,229,233,243,243,249,253,254,251,250,248,252,257
New Zealand,32,33,33,34,35,36,36,37,38,38,39,40,41,41,43,43,44,44,44,43,45,44,44,43,44,44,44
Africa,319,326,329,341,353,364,386,403,409,422,445,462,490,512,544,564,590,615,624,629,675,699,728,748,770,791,804
Algeria,17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,71,76,78
Egypt,42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,131,139,147,157,164,168,172,183,190
Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,30,33,30
South Africa,167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,248,250
Middle-East,244,246,280,309,330,346,366,390,421,445,472,500,533,564,599,646,690,732,786,818,892,916,957,988,"1,051","1,089","1,132"
Iran,59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,262,275,282,290
Kuwait,18,11,17,20,23,24,25,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,63,61,65,68,71
Saudi Arabia,69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,272,284,312,325,327
United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,76,86,91,98,99,103,106,110,117,132